id;search_query;name;full_name;description;fork;html_url
18;pipeline data visualization mobile health;devops-exercises;bregman-arie/devops-exercises;Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions;false;https://github.com/bregman-arie/devops-exercises
19;pipeline data visualization mobile health;awesome-iot;phodal/awesome-iot;Awesome IoT. A collaborative list of great resources about IoT Framework, Library,  OS, Platform;false;https://github.com/phodal/awesome-iot
20;pipeline data visualization mobile health;ehr-relation-extraction;smitkiri/ehr-relation-extraction;NER and Relation Extraction from Electronic Health Records (EHR).;false;https://github.com/smitkiri/ehr-relation-extraction
21;pipeline data visualization mobile health;Nagios-Plugins;HariSekhon/Nagios-Plugins;450+ AWS, Hadoop, Cloud, Kafka, Docker, Elasticsearch, RabbitMQ, Redis, HBase, Solr, Cassandra, ZooKeeper, HDFS, Yarn, Hive, Presto, Drill, Impala, Consul, Spark, Jenkins, Travis CI, Git, MySQL, Linux, DNS, Whois, SSL Certs, Yum Security Updates, Kubernetes, Cloudera etc...;false;https://github.com/HariSekhon/Nagios-Plugins
22;pipeline data visualization mobile health;the-gan-zoo;hindupuravinash/the-gan-zoo;A list of all named GANs!;false;https://github.com/hindupuravinash/the-gan-zoo
23;pipeline data visualization mobile health;Awesome-Linux-Software;luong-komorebi/Awesome-Linux-Software;🐧 A list of awesome Linux softwares ;false;https://github.com/luong-komorebi/Awesome-Linux-Software
24;pipeline data visualization mobile health;public-apis;public-apis-dev/public-apis;A collaborative list of public APIs for developers;false;https://github.com/public-apis-dev/public-apis
25;pipeline data visualization mobile health;awesome-geospatial-companies;chrieke/awesome-geospatial-companies;:globe_with_meridians: List of 500+ geospatial companies (GIS, Earth Observation, UAV, Satellite, Digital Farming, ..);false;https://github.com/chrieke/awesome-geospatial-companies
26;pipeline data visualization mobile health;Awesome-FL;youngfish42/Awesome-FL;Comprehensive and timely academic information on federated learning (papers, frameworks, datasets, tutorials, workshops);false;https://github.com/youngfish42/Awesome-FL
27;pipeline data visualization mobile health;HomeAssistantConfig;bacco007/HomeAssistantConfig;My Home Assistant Configuration;false;https://github.com/bacco007/HomeAssistantConfig
28;pipeline data visualization mobile health;more-awesome;0ex/more-awesome;"An extensive list of ""awesome"" lists to help you find resources and starting points on every topic.";false;https://github.com/0ex/more-awesome
29;pipeline data visualization mobile health;OpenShift-Guide;mikeroyal/OpenShift-Guide;OpenShift Guide. Learn about the Red Hat OpenShift Container Platform, Data Science, Code Ready Containers, Podman, Buildah, and Kubernetes.;false;https://github.com/mikeroyal/OpenShift-Guide
30;pipeline data visualization mobile health;favorite-link;guanguans/favorite-link;❤️ 每天收集喜欢的开源项目 | RSS 订阅 |  快知 app 订阅;false;https://github.com/guanguans/favorite-link
31;pipeline data visualization mobile health;netdevops;juliogomez/netdevops;Hands-on with NetDevOps;false;https://github.com/juliogomez/netdevops
32;pipeline data visualization mobile health;daily_arxiv;zhuwenxing/daily_arxiv;Using GitHub Action to collect paper list with publicly available source code in the daily arxiv;false;https://github.com/zhuwenxing/daily_arxiv
33;pipeline data visualization mobile health;arxiv-daily;beiyuouo/arxiv-daily;🎓 Automatically Update Some Fields Papers Daily using Github Actions (Update Every 12th hours);false;https://github.com/beiyuouo/arxiv-daily
34;pipeline data visualization mobile health;nlp-arxiv-daily;monologg/nlp-arxiv-daily;Automatically Update NLP Papers Daily using Github Actions (ref: https://github.com/Vincentqyw/cv-arxiv-daily);false;https://github.com/monologg/nlp-arxiv-daily
35;pipeline data visualization mobile health;awesome-ios-star;damozhang/awesome-ios-star;All data is from https://github.com/vsouza/awesome-ios. Only the GitHub star count is added to this list.  Update every day.;false;https://github.com/damozhang/awesome-ios-star
36;pipeline data visualization mobile health;awesome;amorist/awesome;manage my github star;false;https://github.com/amorist/awesome
37;pipeline data visualization mobile health;cv-arxiv-daily;DWCTOD/cv-arxiv-daily;;false;https://github.com/DWCTOD/cv-arxiv-daily
38;pipeline data visualization mobile health;awesome-free-mit;SuperSonicHub1/awesome-free-mit;A collection of free stuff you can get at the Massachusetts Institute of Technology.;false;https://github.com/SuperSonicHub1/awesome-free-mit
39;pipeline data visualization mobile health;fucking-Awesome-Linux-Software;Correia-jpv/fucking-Awesome-Linux-Software;A list of awesome applications, software, tools and other materials for Linux distros. With repository stars⭐ and forks🍴;false;https://github.com/Correia-jpv/fucking-Awesome-Linux-Software
40;pipeline data visualization mobile health;Arxiv-NLP-Reporter;JackHCC/Arxiv-NLP-Reporter;每日自动获取Arxiv上NLP相关最新论文【Arxiv Natural Language Processing Paper Automatic Crawl Daily】;false;https://github.com/JackHCC/Arxiv-NLP-Reporter
41;pipeline data visualization mobile health;naming;wklken/naming;Naming is the most difficult part of programming, this repo may save your time.;false;https://github.com/wklken/naming
